Student_ID;Age;Gender;Family_Income;Internet_Access;Study_Hours_per_Day;Attendance_Rate;Assignment_Delay_Days;Travel_Time_Minutes;Part_Time_Job;Scholarship;Stress_Index;GPA;Semester_GPA;CGPA;Semester;Department;Parental_Education;Dropout
42;21.04;Male;41216.0;Yes;07.06;85.00.00;1;43.04.00;Yes;Yes;04.04;0,084722222;0,089583333;0,089583333;Year 1;Business;High School;0
43;20.07;Male;49772.0;Yes;0,184722222;95.06.00;6;22.07;No;Yes;06.07;02.34;0,132638889;0,132638889;Year 1;Business;Bachelor;0
44;20.03;Male;41183.0;Yes;04.15;72.01.00;2;35.09.00;Yes;Yes;08.04;02.32;0,138194444;0,140277778;Year 3;Business;High School;1
45;17.07;Female;25000.0;Yes;02.48;89.00.00;1;29.05.00;No;Yes;07.04;0,04375;00.45;00.05;Year 4;Engineering;Master;0
46;19.04;Female;25682.0;Yes;03.51;69.07.00;2;22.09;No;No;07.09;01.58;01.43;01.43;Year 1;Business;Master;0
47;20.00;Male;25000.0;Yes;0,308333333;75.06.00;1;44.00.00;Yes;No;05.02;03.36;03.59;0,170833333;Year 4;Business;Bachelor;0
48;23.03;Male;25000.0;Yes;05.13;86.05.00;1;22.00;Yes;No;03.06;04.00;0,190972222;04.00;Year 4;CS;Bachelor;0
49;21.08;Male;25000.0;Yes;05.58;79.08.00;2;39.01.00;Yes;No;01.09;04.00;0,175694444;0,178472222;Year 2;Business;Bachelor;0
50;17.01;Female;27754.0;Yes;0,225;93.06.00;3;30.08.00;No;No;01.08;02.08;03.38;03.38;Year 1;Engineering;High School;0
51;21.07;Female;25000.0;Yes;05.39;83.00.00;1;27.09.00;Yes;No;05.01;04.00;04.00;0,190277778;Year 4;CS;Bachelor;0
52;20.02;Male;26368.0;Yes;06.52;86.02.00;1;23.03;No;No;06.04;0,145138889;02.07;0,128472222;Year 3;Business;Bachelor;0
53;19.05;Female;25000.0;Yes;03.41;76.05.00;2;18.02;Yes;No;07.00;02.28;02.05;02.05;Year 3;Business;High School;0
54;22.03;Male;33661.0;Yes;0,233333333;73.07.00;4;27.00.00;No;No;05.09;02.16;02.42;02.47;Year 4;Business;Master;1
55;23.03;Female;25000.0;Yes;03.01;72.08.00;0;23.09;No;Yes;04.02;00.35;00.00;00.00;Year 1;Business;Bachelor;1
56;23.00;Female;35396.0;Yes;01.35;74.05.00;0;31.01.00;Yes;Yes;06.07;0,047222222;0,064583333;0,064583333;Year 1;Science;High School;1
57;19.02;Female;56894.0;Yes;04.34;76.04.00;1;15.06;No;No;03.03;0,127777778;0,130555556;0,130555556;Year 4;Science;Bachelor;0
58;20.03;Female;77162.0;Yes;04.16;91.03.00;3;28.02.00;No;Yes;03.05;02.09;02.39;02.57;Year 4;Engineering;Bachelor;0
59;21.07;Female;25000.0;Yes;03.09;85.02.00;5;34.09.00;No;No;06.06;00.26;00.37;00.42;Year 2;Business;Master;1
60;23.01;Female;25000.0;Yes;03.17;71.08.00;2;21.09;No;No;03.03;0,050694444;00.35;00.35;Year 1;Science;High School;0
61;19.09;Female;25000.0;Yes;04.18;78.07.00;2;38.09.00;Yes;No;04.01;0,175694444;04.00;04.00;Year 3;Arts;High School;0
62;20.06;Male;39191.0;Yes;04.55;81.08.00;3;40.02.00;Yes;Yes;03.07;02.03;02.03;02.32;Year 2;Science;PhD;0
63;18.06;Male;25000.0;Yes;06.55;100.00.00;0;15.05;Yes;Yes;05.08;03.17;03.13;03.13;Year 1;Engineering;Bachelor;0
64;18.04;Male;25000.0;Yes;04.07;82.01.00;1;20.09;No;No;06.06;01.52;0,088888889;0,090972222;Year 3;Engineering;PhD;0
65;22.08;Female;32151.0;No;0,219444444;85.06.00;1;13.09;No;No;06.06;01.55;0,084027778;0,085416667;Year 2;Arts;High School;0
66;24.00.00;Male;31286.0;Yes;03.03;74.01.00;2;35.01.00;No;Yes;04.05;0,169444444;03.06;03.04;Year 4;CS;Bachelor;0
67;20.08;Male;37293.0;Yes;0,136111111;87.08.00;0;31.05.00;No;No;05.02;0,169444444;0,16875;0,172222222;Year 4;Science;Bachelor;0
68;23.02;Male;38801.0;Yes;0,133333333;93.00.00;2;10.08;Yes;No;06.08;04.00;04.00;04.00;Year 3;Arts;High School;0
69;21.08;Male;36430.0;Yes;0,167361111;80.08.00;1;22.02;No;No;04.05;01.09;01.48;01.48;Year 1;Engineering;Master;0
70;19.06;Female;33396.0;Yes;04.08;86.09.00;4;33.07.00;No;No;03.09;0,140277778;0,150694444;0,150694444;Year 1;Engineering;PhD;0
71;21.08;Female;30744.0;Yes;04.28;86.06.00;3;31.04.00;No;Yes;04.03;02.02;02.32;02.28;Year 4;Business;Bachelor;0
72;24.04.00;Female;44305.0;Yes;0,148611111;82.06.00;1;44.05.00;No;No;04.04;0,185416667;03.54;03.55;Year 3;CS;Bachelor;0
73;20.09;Female;25000.0;Yes;01.09;92.03.00;1;16.02;Yes;No;05.06;02.05;02.33;02.33;Year 1;Arts;Bachelor;0
74;24.04.00;Female;75102.0;Yes;03.45;75.06.00;2;29.09.00;Yes;No;05.05;04.00;04.00;04.00;Year 1;Engineering;Bachelor;0
75;17.00;Male;25000.0;No;05.22;75.00.00;1;18.00;No;No;05.02;04.00;04.00;0,192361111;Year 4;CS;Master;0
76;22.08;Male;25000.0;Yes;03.51;82.00.00;2;31.03.00;Yes;No;04.01;02.35;02.56;02.52;Year 2;Science;Bachelor;0
77;21.02;Female;;Yes;;79.00.00;2;27.08.00;No;No;;0,175;0,171527778;03.59;Year 3;Science;Bachelor;0
78;20.03;Male;44514.0;Yes;0,10625;58.07.00;3;33.03.00;Yes;No;06.07;0,102777778;01.08;01.08;Year 1;Science;None;1
79;21.02;Male;25000.0;Yes;04.16;76.01.00;2;25.01.00;No;No;06.01;00.07;01.08;01.27;Year 4;Engineering;High School;0
80;17.00;Female;29235.0;Yes;04.53;65.00.00;0;39.01.00;No;Yes;04.07;01.57;01.17;01.17;Year 1;CS;High School;0
81;20.05;Male;;No;;79.04.00;2;21.04;No;No;;02.06;0,100694444;0,100694444;Year 1;CS;Master;0
82;21.08;Male;53998.0;Yes;05.25;87.07.00;1;17.08;No;No;07.07;0,060416667;0,052777778;0,052777778;Year 1;CS;Master;0
83;24.03.00;Male;25000.0;Yes;05.56;82.04.00;2;32.07.00;No;Yes;05.04;0,057638889;0,059722222;0,061805556;Year 3;Engineering;Bachelor;0
84;19.09;Male;25000.0;Yes;0,302083333;83.01.00;0;52.02.00;No;No;05.05;0,108333333;0,101388889;0,101388889;Year 4;Science;Master;0
85;19.02;Male;25000.0;Yes;02.08;80.08.00;2;11.07;No;No;08.02;03.00;03.11;03.11;Year 4;Arts;Bachelor;0
86;19.09;Male;25000.0;Yes;04.37;83.07.00;0;16.03;No;No;07.04;03.03;0,148611111;0,148611111;Year 2;Engineering;Master;0
87;23.00;Female;25000.0;Yes;02.46;100.00.00;1;32.08.00;No;Yes;04.03;03.12;03.19;03.02;Year 3;Arts;Master;0
88;21.07;Female;25000.0;Yes;0,221527778;79.02.00;3;43.05.00;Yes;No;07.04;01.22;01.44;01.42;Year 4;CS;Master;1
89;19.08;Male;;Yes;;81.09.00;0;33.07.00;No;No;;0,15;0,138194444;02.07;Year 3;Arts;High School;1
90;22.01;Female;32176.0;Yes;01.49;75.01.00;1;22.07;No;No;03.06;0,15;0,148611111;0,148611111;Year 1;Science;Bachelor;0
91;21.02;Male;39933.0;Yes;04.35;66.08.00;1;35.00.00;No;No;07.08;02.37;02.07;0,127777778;Year 3;Arts;High School;0
92;23.01;Male;33807.0;No;0,176388889;84.01.00;0;36.02.00;Yes;No;04.02;0,052083333;0,044444444;0,046527778;Year 4;Business;High School;1
93;19.05;Male;;No;;91.01.00;3;21.08;No;No;;03.54;03.08;03.08;Year 1;CS;High School;0
94;20.03;Female;50359.0;Yes;0,168055556;100.00.00;0;39.09.00;No;No;04.08;03.28;0,172222222;0,16875;Year 3;Business;High School;0
95;20.01;Male;25000.0;Yes;0,297222222;80.05.00;3;29.06.00;No;Yes;09.02;00.32;00.01;00.01;Year 1;Arts;High School;0
96;17.08;Female;25000.0;Yes;0,21875;79.09.00;0;09.00;No;No;03.08;00.31;00.04;00.43;Year 4;CS;Master;1
97;21.07;Female;;Yes;;74.05.00;0;28.04.00;Yes;No;;01.52;01.05;01.05;Year 4;CS;Bachelor;0
98;21.06;Female;29331.0;No;03.57;95.07.00;4;23.02;No;No;04.09;0,1375;02.59;0,126388889;Year 2;Business;PhD;0
99;21.00;Female;25000.0;Yes;01.48;72.01.00;2;45.07.00;No;Yes;06.04;0,101388889;02.13;02.13;Year 1;Engineering;PhD;0
100;20.05;Female;51391.0;Yes;02.06;87.03.00;0;14.01;Yes;Yes;05.04;01.29;01.04;01.04;Year 2;CS;High School;0
101;17.09;Male;97535.0;Yes;06.19;96.06.00;1;24.02.00;No;Yes;04.03;04.00;04.00;04.00;Year 3;Business;Master;1
102;20.01;Male;;Yes;;80.00.00;2;33.01.00;Yes;Yes;;02.03;02.29;02.03;Year 3;Science;High School;0
103;20.02;Female;31276.0;Yes;04.59;72.07.00;1;59.00.00;Yes;No;07.09;02.01;02.03;02.03;Year 1;Engineering;Bachelor;0
104;19.02;Female;49497.0;Yes;04.51;88.03.00;2;53.05.00;No;Yes;02.06;03.02;03.28;03.24;Year 4;Business;Bachelor;0
105;20.06;Male;25000.0;Yes;0,266666667;71.02.00;2;29.05.00;No;No;04.03;0,105555556;0,107638889;0,105555556;Year 4;Science;Bachelor;0
106;21.09;Male;30245.0;Yes;04.42;91.05.00;0;34.02.00;Yes;No;06.04;01.36;01.01;01.01;Year 1;Arts;None;0
107;25.01.00;Male;;Yes;;97.09.00;4;37.02.00;Yes;Yes;;03.55;03.36;03.36;Year 1;Engineering;Master;1
108;21.04;Male;;Yes;;63.00.00;3;17.09;Yes;No;;0,098611111;0,091666667;0,0875;Year 2;Engineering;High School;1
109;21.06;Male;;No;;95.03.00;1;30.01.00;No;No;;01.35;01.44;01.55;Year 2;Science;Bachelor;0
110;20.08;Female;26596.0;Yes;0,169444444;87.01.00;2;46.03.00;No;No;06.06;01.59;01.43;01.43;Year 2;Business;Bachelor;0
111;17.00;Female;28669.0;No;06.21;93.01.00;0;31.07.00;No;Yes;06.04;0,181944444;04.00;04.00;Year 1;Business;Bachelor;0
112;20.09;Male;25000.0;No;0,127083333;76.08.00;1;53.04.00;Yes;No;06.08;0,066666667;01.19;01.19;Year 1;Business;Bachelor;1
113;21.01;Female;104579.0;Yes;03.34;87.00.00;2;24.07.00;Yes;No;06.01;02.47;0,129861111;0,130555556;Year 3;Science;Master;0
114;26.04.00;Female;25000.0;Yes;0,085416667;83.09.00;2;28.09.00;No;No;04.09;01.34;02.12;02.13;Year 2;Arts;High School;1
115;20.06;Male;25000.0;Yes;05.31;75.07.00;1;29.00.00;Yes;No;07.02;0,097916667;01.49;01.49;Year 4;Business;High School;0
116;21.07;Male;28108.0;Yes;04.45;79.02.00;3;14.04;No;Yes;04.06;03.06;0,140972222;0,140972222;Year 1;Business;Bachelor;0
117;20.09;Female;51263.0;Yes;06.26;86.06.00;0;43.03.00;No;Yes;05.02;02.45;02.48;02.48;Year 4;CS;High School;0
118;18.04;Female;30045.0;No;03.17;73.00.00;2;26.00.00;Yes;No;02.05;03.04;0,132638889;0,13125;Year 4;Science;Master;0
119;23.05;Male;39789.0;Yes;0,150694444;72.04.00;2;33.01.00;Yes;Yes;04.06;02.09;0,152083333;0,15;Year 3;Science;Bachelor;0
120;22.07;Female;;Yes;;56.08.00;0;22.08;Yes;Yes;;00.05;00.00;00.00;Year 1;Engineering;Master;0
121;22.07;Male;72592.0;No;04.59;75.08.00;3;50.07.00;No;Yes;05.05;02.31;0,097916667;0,099305556;Year 2;Arts;Bachelor;1
122;19.00;Male;41649.0;Yes;03.54;84.03.00;4;44.08.00;No;No;07.02;02.54;0,125694444;0,129861111;Year 2;Engineering;None;1
123;24.01.00;Male;55749.0;Yes;04.39;77.09.00;0;30.07.00;No;No;04.07;00.00;00.00;00.00;Year 4;Arts;Bachelor;0
124;17.09;Male;37016.0;Yes;03.45;92.02.00;1;15.03;Yes;No;04.08;01.42;01.18;01.18;Year 1;CS;Bachelor;0
125;22.03;Female;48773.0;Yes;0,26875;70.04.00;2;38.09.00;No;No;04.05;0,108333333;0,100694444;0,102083333;Year 4;Arts;High School;1
126;25.08.00;Female;25000.0;Yes;0,252777778;86.01.00;3;43.00.00;Yes;No;05.09;03.04;03.39;03.41;Year 4;Science;Master;0
127;18.08;Male;25000.0;Yes;04.11;79.01.00;1;18.09;Yes;No;08.03;02.14;01.09;0,105555556;Year 2;CS;Master;0
128;19.08;Female;66695.0;Yes;05.37;81.02.00;0;28.03.00;No;No;01.03;0,184722222;04.00;04.00;Year 1;Science;Bachelor;0
129;21.02;Female;75799.0;Yes;0,182638889;87.05.00;1;30.09.00;No;Yes;04.06;0,10625;0,100694444;01.08;Year 2;Arts;High School;0
130;19.09;Male;25000.0;Yes;0,190277778;60.09.00;2;43.00.00;No;No;04.09;0,103472222;01.09;0,105555556;Year 3;Arts;High School;1
131;17.06;Female;34539.0;Yes;01.19;64.09.00;1;28.02.00;No;No;01.07;0,106944444;0,100694444;0,10625;Year 3;Business;Bachelor;0
132;21.02;Male;25000.0;Yes;0,2125;81.05.00;2;41.05.00;No;No;05.03;01.07;01.05;01.05;Year 4;CS;Bachelor;0
133;18.07;Female;25000.0;Yes;04.03;80.02.00;2;20.07;No;Yes;04.09;02.03;02.28;02.28;Year 1;Arts;High School;0
134;22.00;Male;35274.0;Yes;05.14;70.06.00;3;17.03;No;No;04.07;02.45;02.56;02.56;Year 1;Engineering;High School;0
135;19.00;Female;58958.0;Yes;0,23125;98.00.00;1;52.00.00;No;No;03.05;02.08;0,1375;0,133333333;Year 4;Science;Master;0
136;24.04.00;Male;38988.0;Yes;03.03;72.07.00;1;14.03;Yes;Yes;05.03;0,103472222;0,095833333;0,096527778;Year 3;Engineering;Master;0
137;19.03;Female;25000.0;Yes;0,177083333;77.07.00;2;21.00;Yes;No;03.04;02.18;02.03;02.29;Year 3;CS;PhD;0
138;20.03;Female;40494.0;No;03.38;91.02.00;2;39.04.00;No;Yes;04.00;01.09;0,103472222;0,102777778;Year 2;CS;Bachelor;0
139;22.08;Male;25000.0;Yes;05.36;76.06.00;3;23.06;No;No;05.01;03.36;0,186111111;0,190972222;Year 3;Arts;Bachelor;0
140;18.03;Male;38073.0;Yes;06.05;75.01.00;1;23.03;No;No;07.03;01.17;0,061805556;01.01;Year 3;Business;High School;0
141;21.05;Male;68726.0;Yes;05.04;85.01.00;1;27.06.00;Yes;No;06.02;0,05;0,060416667;0,057638889;Year 3;CS;Bachelor;1
142;23.09;Female;25000.0;No;06.58;76.01.00;1;05.00;No;No;06.06;03.06;0,189583333;0,189583333;Year 1;CS;Bachelor;0
143;17.05;Male;47971.0;Yes;0,213888889;85.02.00;2;43.04.00;No;No;09.00;03.09;03.01;0,15;Year 2;Science;Bachelor;0
144;21.04;Female;25000.0;Yes;0,134027778;86.01.00;1;32.01.00;No;Yes;06.03;02.39;0,126388889;0,127083333;Year 3;Business;High School;0
145;21.06;Male;62131.0;Yes;02.02;85.00.00;4;20.03;Yes;No;03.06;00.09;0,067361111;0,067361111;Year 4;Arts;High School;0
146;22.07;Male;25000.0;Yes;02.08;91.04.00;3;09.04;No;Yes;04.05;02.11;0,132638889;0,134027778;Year 2;Engineering;Master;0
147;18.03;Male;25000.0;Yes;03.41;78.09.00;1;13.06;No;Yes;04.00;0,097916667;0,109722222;0,104861111;Year 2;Business;High School;0
148;18.01;Male;45124.0;Yes;03.12;78.00.00;0;10.09;No;Yes;05.03;0,130555556;02.23;02.27;Year 2;Engineering;Master;0
149;22.01;Female;36994.0;Yes;04.07;81.03.00;3;32.07.00;No;No;04.08;0,145138889;03.07;03.09;Year 2;Science;High School;0
150;21.07;Female;25000.0;Yes;0,178472222;59.04.00;5;32.08.00;No;No;03.08;03.15;03.26;03.26;Year 1;CS;Bachelor;0
151;21.06;Male;25000.0;Yes;04.01;83.07.00;0;37.03.00;Yes;Yes;07.02;02.21;02.55;02.53;Year 4;CS;High School;0
152;21.08;Female;26569.0;Yes;07.17;79.04.00;2;38.08.00;Yes;Yes;07.03;0,063888889;01.25;01.25;Year 1;Business;Bachelor;0
153;19.05;Male;25000.0;Yes;05.14;85.01.00;1;37.05.00;Yes;Yes;05.08;0,183333333;0,179166667;0,184722222;Year 4;Engineering;Master;0
154;21.05;Female;25000.0;Yes;04.35;74.08.00;1;48.05.00;No;No;03.07;0,172222222;03.49;03.42;Year 2;Arts;Bachelor;0
155;21.06;Male;31868.0;Yes;05.38;92.08.00;4;44.03.00;No;Yes;05.07;04.00;04.00;04.00;Year 1;Business;Bachelor;0
156;19.04;Female;25000.0;No;0,149305556;80.03.00;2;41.05.00;Yes;No;04.04;0,175;0,185416667;0,185416667;Year 1;Business;Master;0
157;25.01.00;Female;38404.0;Yes;02.09;88.07.00;1;32.08.00;No;No;07.08;0,04375;0,061111111;0,061111111;Year 1;Business;PhD;1
158;22.00;Male;72699.0;Yes;05.19;77.09.00;2;38.06.00;No;No;03.03;03.06;03.55;03.55;Year 1;Science;Master;0
159;18.04;Female;27197.0;Yes;04.00;85.07.00;2;25.01.00;No;No;06.07;02.34;02.45;02.42;Year 3;Engineering;None;0
160;22.04;Male;32148.0;Yes;04.16;69.06.00;0;27.03.00;Yes;Yes;06.06;01.07;01.54;01.54;Year 1;Business;High School;0
161;18.09;Male;99793.0;Yes;02.51;64.04.00;4;50.07.00;No;Yes;07.01;02.51;02.29;02.29;Year 1;Science;High School;0
162;22.07;Male;25000.0;Yes;03.38;80.03.00;1;23.03;No;No;05.09;0,138194444;0,1375;0,136805556;Year 3;Business;Master;0
163;23.05;Male;60763.0;Yes;03.47;81.08.00;1;22.04;Yes;No;04.09;01.29;01.09;01.16;Year 2;CS;Bachelor;0
164;19.02;Male;56529.0;Yes;03.37;81.02.00;1;25.07.00;No;No;09.08;01.17;01.01;01.06;Year 2;Business;Bachelor;1
165;23.01;Male;49642.0;Yes;0,304861111;79.07.00;3;23.04;Yes;No;03.09;02.11;02.14;02.18;Year 3;Science;Master;0
166;21.09;Male;64541.0;Yes;0,302777778;78.08.00;2;24.04.00;No;No;06.08;0,134722222;0,125694444;0,126388889;Year 3;CS;Bachelor;0
167;22.08;Male;35184.0;Yes;05.48;87.04.00;1;32.09.00;Yes;Yes;05.05;02.56;03.08;03.08;Year 1;Arts;High School;0
168;25.02.00;Female;25000.0;Yes;04.13;96.03.00;0;33.03.00;No;No;06.01;02.24;02.25;02.24;Year 3;Engineering;None;1
169;20.05;Female;57339.0;Yes;03.24;100.00.00;2;40.09.00;No;Yes;06.01;04.00;04.00;04.00;Year 2;Arts;Bachelor;0
170;19.03;Male;58671.0;Yes;0,128472222;90.08.00;1;56.03.00;Yes;No;03.06;04.00;0,179166667;0,18125;Year 3;Arts;Bachelor;0
171;19.00;Male;57710.0;Yes;04.44;63.07.00;0;25.06.00;Yes;Yes;03.01;0,063194444;01.01;0,067361111;Year 3;Science;Bachelor;0
172;19.02;Male;30537.0;No;0,254166667;90.04.00;0;29.02.00;Yes;Yes;03.02;04.00;0,175694444;0,175694444;Year 4;Engineering;Bachelor;0
173;20.08;Female;25000.0;Yes;05.01;90.03.00;3;07.09;No;No;04.07;04.00;03.07;03.07;Year 2;CS;None;0
174;21.08;Female;33350.0;Yes;04.13;81.02.00;1;14.05;Yes;Yes;05.09;01.01;00.08;00.08;Year 1;Engineering;High School;0
175;21.06;Male;52331.0;Yes;0,227083333;89.04.00;2;28.02.00;No;Yes;04.03;0,192361111;03.53;03.54;Year 3;Engineering;High School;0
176;22.08;Male;54974.0;No;0,193055556;84.09.00;1;35.06.00;No;No;02.09;02.24;0,130555556;0,130555556;Year 1;Science;Master;0
177;21.00;Male;25000.0;Yes;0,169444444;81.09.00;0;35.09.00;No;No;07.02;02.22;02.25;02.23;Year 2;Business;Bachelor;0
178;24.02.00;Male;35926.0;Yes;0,130555556;84.00.00;4;37.04.00;No;No;02.07;01.21;0,0875;0,090972222;Year 2;Business;High School;0
179;20.04;Female;25000.0;Yes;03.57;77.06.00;1;45.01.00;No;No;06.04;02.34;02.05;0,110416667;Year 4;Business;Bachelor;0
180;27.00.00;Female;53689.0;Yes;04.39;67.03.00;2;50.05.00;Yes;No;04.01;03.47;03.57;03.54;Year 3;Business;Bachelor;0
181;22.04;Male;25000.0;Yes;03.46;67.00.00;6;27.01.00;No;Yes;07.07;00.02;00.29;00.29;Year 1;Engineering;Bachelor;1
182;19.01;Female;47627.0;Yes;02.51;89.03.00;5;20.04;No;No;04.06;02.01;02.09;02.11;Year 3;Science;High School;0
183;18.06;Male;25000.0;Yes;04.15;73.08.00;1;37.09.00;No;No;02.03;02.55;02.26;02.26;Year 1;Arts;Bachelor;0
184;22.01;Male;55207.0;No;04.39;69.08.00;2;41.02.00;No;No;05.04;03.18;0,139583333;02.08;Year 2;Business;High School;0
185;20.05;Female;36066.0;Yes;03.52;69.06.00;3;31.06.00;Yes;Yes;04.00;0,102083333;0,093055556;0,095138889;Year 2;Science;Bachelor;0
186;22.06;Female;25000.0;Yes;0,192361111;78.02.00;0;27.09.00;No;Yes;07.00;0,125694444;02.35;02.32;Year 2;Engineering;Master;0
187;22.00;Male;45018.0;Yes;0,049305556;94.01.00;1;24.00.00;No;Yes;06.01;01.06;01.43;01.41;Year 3;Arts;Master;0
